"Paper","Organism","Raw data avilable","Gmatrix","Pmatrix","cormatrix","directory","data link","Reference","Taxon1","Taxon2","NA","NA","NA","NA"
"Del1995.186.csv","Spergularia.marina",NA,0,NA,1,NA,NA,"Delesalle.Mazer.1995.AJB","P","P",NA,NA,NA,NA
"Del1995.187.csv","Spergularia.marina",NA,0,NA,1,NA,NA,"Delesalle.Mazer.1995.AJB","P","P",NA,NA,NA,NA
"Del1995.188.csv","Spergularia.marina",NA,0,NA,1,NA,NA,"Delesalle.Mazer.1995.AJB","P","P",NA,NA,NA,NA
"Del1995.189.csv","Spergularia.marina",NA,0,NA,1,NA,NA,"Delesalle.Mazer.1995.AJB","P","P",NA,NA,NA,NA
"Del2004.183.csv","Silene.latifolia",NA,0,NA,1,NA,NA,"Delph.et.al.2004","P","P",NA,NA,NA,NA
"Del2004.184.csv","Silene.latifolia",NA,0,NA,1,NA,NA,"Delph.et.al.2004","P","P",NA,NA,NA,NA
"Don2005.190.csv","Arabidopsis.thaliana",NA,0,NA,1,NA,NA,"Donohue.et.al.2005.AmNat","P","P",NA,NA,NA,NA
"Don2005.191.csv","Arabidopsis.thaliana",NA,0,NA,1,NA,NA,"Donohue.et.al.2005.AmNat","P","P",NA,NA,NA,NA
"Dor2008.192.csv","Acrobeloides.nanus",NA,0,NA,1,NA,NA,"Doroszuk.et.al.2008.AmNat","I","A",NA,NA,NA,NA
"Dor2008.193.csv","Acrobeloides.nanus",NA,0,NA,1,NA,NA,"Doroszuk.et.al.2008.AmNat","I","A",NA,NA,NA,NA
"Ell1998.194.csv","Solanum.carolinese",NA,0,NA,1,NA,NA,"Elle.1998.Her","P","P",NA,NA,NA,NA
"Ell1998.195.csv","Solanum.carolinese",NA,0,NA,1,NA,NA,"Elle.1998.Her","P","P",NA,NA,NA,NA
"Ell1998.196.csv","Solanum.carolinese",NA,0,NA,1,NA,NA,"Elle.1998.Her","P","P",NA,NA,NA,NA
"Esc2009.197.csv","Physa.acuta",NA,0,NA,1,NA,NA,"Escobar.et.al.2009","I","A",NA,NA,NA,NA
"Fis2002.199.csv","Mimulus.nasutus.x.Mimulus.guttatus",NA,0,NA,1,NA,NA,"Fishman.et.al.2002.Evo","P","P",NA,NA,NA,NA
"Fis2002.200.csv","Mimulus.nasutus.x.Mimulus.guttatus",NA,0,NA,1,NA,NA,"Fishman.et.al.2002.Evo","P","P",NA,NA,NA,NA
"For2009.465.csv","Taeniopygia.guttata",NA,0,NA,1,NA,NA,"Forstmeier.et.al.2009","V","A",NA,NA,NA,NA
"For2009.467.csv","Taeniopygia.guttata",NA,0,NA,1,NA,NA,"Forstmeier.et.al.2009","V","A",NA,NA,NA,NA
"For2009.468.csv","Taeniopygia.guttata",NA,0,NA,1,NA,NA,"Forstmeier.et.al.2009","V","A",NA,NA,NA,NA
"Gar2008.201.csv","Parsus.major",NA,0,NA,1,NA,NA,"Garant.et.al.2008","V","A",NA,NA,NA,NA
"Gar2008.202.csv","Parsus.major",NA,0,NA,1,NA,NA,"Garant.et.al.2008","V","A",NA,NA,NA,NA
"Gem2001.472.csv","Trichoplusia.ni",NA,0,NA,1,NA,NA,"Gemeno.et.al.2001.BG","I","A",NA,NA,NA,NA
"Gem2001.473.csv","Trichoplusia.ni",NA,0,NA,1,NA,NA,"Gemeno.et.al.2001.BG","I","A",NA,NA,NA,NA
"Gom2009.219.csv","Erysimum.mediohispanicum",NA,0,NA,1,NA,NA,"Gomez.2009","P","P",NA,NA,NA,NA
"Gom2009.220.csv","Erysimum.mediohispanicum",NA,0,NA,1,NA,NA,"Gomez.2009","P","P",NA,NA,NA,NA
"Goo1997.207.csv","Tribolium.castaneum",NA,0,NA,1,NA,NA,"Goodnight.Schwartz.1997","I","A",NA,NA,NA,NA
"Goo1997.208.csv","Tribolium.castaneum",NA,0,NA,1,NA,NA,"Goodnight.Schwartz.1997","I","A",NA,NA,NA,NA
"Goo1997.209.csv","Tribolium.castaneum",NA,0,NA,1,NA,NA,"Goodnight.Schwartz.1997","I","A",NA,NA,NA,NA
"Goo1997.210.csv","Tribolium.castaneum",NA,0,NA,1,NA,NA,"Goodnight.Schwartz.1997","I","A",NA,NA,NA,NA
"Goo2003.205.csv","Campanula.rapunculoides",NA,0,NA,1,NA,NA,"Good-Avila.Stephenson.2003.AmNat","P","P",NA,NA,NA,NA
"Goo2003.206.csv","Campanula.rapunculoides",NA,0,NA,1,NA,NA,"Good-Avila.Stephenson.2003.AmNat","P","P",NA,NA,NA,NA
"Gri1997.211.csv","Harmonia.axyridis",NA,0,NA,1,NA,NA,"Grill.et.al.1997.Her","I","A",NA,NA,NA,NA
"Gri1997.213.csv","Harmonia.axyridis",NA,0,NA,1,NA,NA,"Grill.et.al.1997.Her","I","A",NA,NA,NA,NA
"Gun1997.215.csv","Callosobruchus.maculatus",NA,0,NA,1,NA,NA,"Guntrip.et.al.1997.Her","I","A",NA,NA,NA,NA
